tourney_id,tourney_name,surface,tourney_level,draw_size,tourney_date
1968-2029,Dublin,Grass,A,32,19680708
1968-303,Buenos Aires,Clay,A,16,19681111
1968-314,Gstaad,Clay,A,32,19680721
1968-347,Bournemouth,Clay,A,32,19680422
1968-401,Philadelphia WCT,Carpet,A,16,19680208
1968-410,Monte Carlo,Clay,A,64,19680415
1968-414,Hamburg,Clay,A,64,19680813
1968-416,Rome,Clay,M,128,19680506
1968-422,Cincinnati,Clay,M,16,19680707
1968-423,Los Angeles,Hard,A,64,19680914
1968-425,Barcelona,Clay,A,64,19680607
1968-520,Roland Garros,Clay,G,128,19680527
1968-540,Wimbledon,Grass,G,128,19680624
1968-560,US Open,Grass,G,96,19680829
1968-580,Australian Chps.,Grass,G,64,19680119
1968-661,Dusseldorf,Clay,A,64,19680708
1968-D001,Davis Cup SAM QF: VEN vs ARG,,D,4,19680427
1968-D002,Davis Cup WG CR: AUS vs USA,Grass,D,4,19681226
1968-D003,Davis Cup EUR R1: AUT vs RSA,,D,4,19680503
1968-D004,Davis Cup EUR R1: BEL vs POL,,D,4,19680503
1968-D005,Davis Cup EUR QF: BEL vs TCH,Clay,D,4,19680524
1968-D006,Davis Cup EUR R1: TCH vs BRA,Clay,D,4,19680503
1968-D007,Davis Cup EUR QF: BUL vs FRG,,D,4,19680517
1968-D008,Davis Cup EUR R1: BUL vs TUR,,D,4,19680503
1968-D009,Davis Cup AME SF: MEX vs CAN,Clay,D,4,19680511
1968-D010,Davis Cup AME SF: USA vs CAR,Hard,D,4,19680503
1968-D011,Davis Cup SAM F: ECU vs CHI,Clay,D,4,19680524
1968-D012,Davis Cup SAM SF: PER vs CHI,,D,4,19680329
1968-D013,Davis Cup EUR R1: ROU vs DEN,Clay,D,4,19680428
1968-D014,Davis Cup AME F: USA vs ECU,Carpet,D,4,19680607
1968-D015,Davis Cup SAM SF: VEN vs ECU,Hard,D,4,19680511
1968-D016,Davis Cup EUR SF: ESP vs GBR,Clay,D,4,19680614
1968-D017,Davis Cup EUR F: ESP vs ITA,Clay,D,4,19680719
1968-D018,Davis Cup EUR R1: ESP vs NED,Clay,D,4,19680503
1968-D019,Davis Cup EUR QF: ESP vs SWE,Clay,D,4,19680524
1968-D020,Davis Cup EUR SF: USA vs ESP,Hard,D,4,19680816
1968-D021,Davis Cup EUR R1: FIN vs POR,Clay,D,4,19680503
1968-D022,Davis Cup EUR R1: GBR vs FRA,Clay,D,4,19680502
1968-D023,Davis Cup EUR SF: FRG vs IND,,D,4,19681004
1968-D024,Davis Cup EUR F: FRG vs RSA,,D,4,19680719
1968-D025,Davis Cup EUR R1: FRG vs SUI,,D,4,19680503
1968-D026,Davis Cup EUR SF: FRG vs TCH,Clay,D,4,19680614
1968-D027,Davis Cup EUR R1: URS vs GRE,,D,4,19680503
1968-D028,Davis Cup EUR R1: ITA vs HUN,Clay,D,4,19680502
