tourney_id,alias,source
1968-2029,Dublin,tour
1968-303,Buenos Aires,tour
1968-314,Gstaad,tour
1968-347,Bournemouth,tour
1968-401,Philadelphia Wct,tour
1968-410,Monte Carlo,tour
1968-414,Hamburg,tour
1968-416,Rome,tour
1968-422,Cincinnati,tour
1968-423,Los Angeles,tour
1968-425,Barcelona,tour
1968-520,Roland Garros,tour
1968-540,Wimbledon,tour
1968-560,Us Open,tour
1968-580,Australian Chps.,tour
1968-661,Dusseldorf,tour
1968-D001,Davis Cup Sam Qf: Ven Vs Arg,tour
1968-D002,Davis Cup Wg Cr: Aus Vs Usa,tour
1968-D003,Davis Cup Eur R1: Aut Vs Rsa,tour
1968-D004,Davis Cup Eur R1: Bel Vs Pol,tour
1968-D005,Davis Cup Eur Qf: Bel Vs Tch,tour
1968-D006,Davis Cup Eur R1: Tch Vs Bra,tour
1968-D007,Davis Cup Eur Qf: Bul Vs Frg,tour
1968-D008,Davis Cup Eur R1: Bul Vs Tur,tour
1968-D009,Davis Cup Ame Sf: Mex Vs Can,tour
1968-D010,Davis Cup Ame Sf: Usa Vs Car,tour
1968-D011,Davis Cup Sam F: Ecu Vs Chi,tour
1968-D012,Davis Cup Sam Sf: Per Vs Chi,tour
1968-D013,Davis Cup Eur R1: Rou Vs Den,tour
1968-D014,Davis Cup Ame F: Usa Vs Ecu,tour
1968-D015,Davis Cup Sam Sf: Ven Vs Ecu,tour
1968-D016,Davis Cup Eur Sf: Esp Vs Gbr,tour
1968-D017,Davis Cup Eur F: Esp Vs Ita,tour
1968-D018,Davis Cup Eur R1: Esp Vs Ned,tour
1968-D019,Davis Cup Eur Qf: Esp Vs Swe,tour
1968-D020,Davis Cup Eur Sf: Usa Vs Esp,tour
1968-D021,Davis Cup Eur R1: Fin Vs Por,tour
1968-D022,Davis Cup Eur R1: Gbr Vs Fra,tour
1968-D023,Davis Cup Eur Sf: Frg Vs Ind,tour
1968-D024,Davis Cup Eur F: Frg Vs Rsa,tour
1968-D025,Davis Cup Eur R1: Frg Vs Sui,tour
1968-D026,Davis Cup Eur Sf: Frg Vs Tch,tour
1968-D027,Davis Cup Eur R1: Urs Vs Gre,tour
1968-D028,Davis Cup Eur R1: Ita Vs Hun,tour
1968-D029,Davis Cup Wg Sf: Phi Vs Ina,tour
1968-D031,Davis Cup Eur F: Jpn Vs Ind,tour
1968-D032,Davis Cup Wg F: Ind Vs Sri,tour
1968-D033,Davis Cup Wg F: Usa Vs Ind,tour
1968-D034,Davis Cup Eur R1: Iri Vs Isr,tour
1968-D035,Davis Cup Eur Qf: Iri Vs Rsa,tour
1968-D036,Davis Cup Eur R1: Mon Vs Irl,tour
1968-D037,Davis Cup Eur Qf: Ita Vs Mon,tour
1968-D038,Davis Cup Eur Sf: Ita Vs Urs,tour
1968-D039,Davis Cup G2 Sf: Jpn Vs Kor,tour
1968-D040,Davis Cup Ame F: Jpn Vs Phi,tour
1968-D041,Davis Cup Eur R1: Lux Vs Nor,tour
1968-D042,Davis Cup G2 Sf: Sri Vs Mas,tour
1968-D043,Davis Cup Ame F: Usa Vs Mex,tour
1968-D044,Davis Cup Eur Qf: Nor Vs Rou,tour
1968-D045,Davis Cup Eur R1: Yug Vs Nzl,tour
1968-D047,Davis Cup Eur Qf: Urs Vs Yug,tour
1968-D048,Davis Cup Eur R1: Swe Vs Rho,tour
1968-311,London,tour
1968-9343,Bloemfontein,tour
1968-260,Durban 1,tour
1968-713,Hobart,tour
1968-2066,Macon,tour
1968-301,Auckland,tour
1968-355,Salisbury,tour
1968-681,Miami Wct,tour
1968-802,Richmond,tour
1968-9295,Sydney Wct,tour
1968-9297,Shreveport Wct,tour
1968-9298,Houston Wct,tour
1968-9299,New Orleans Wct,tour
1968-9300,Orlando Wct,tour
1968-2058,New York 1,tour
1968-344,Caracas,tour
1968-3940,Barranquilla,tour
1968-9204,Kingston,tour
1968-9277,Curacao,tour
1968-9296,Wct World Cup,tour
1968-9301,Tulsa Wct,tour
1968-9302,Sao Paulo Ntl 1,tour
1968-9303,San Diego Wct,tour
1968-9304,Buenos Aires Ntl,tour
1968-9305,Bogota Ntl,tour
1968-9337,Parioli,tour
1968-325,Palermo,tour
1968-405,Houston 2,tour
1968-426,Johannesburg 1,tour
1968-436,Charlotte,tour
1968-6817,San Juan,tour
1968-6818,St. Petersburg,tour
1968-9306,Los Altos Hills Wct,tour
1968-9307,Bakersfield Wct,tour
1968-9308,Fresno Wct,tour
1968-9309,Hollywood Ntl,tour
1968-9333,Tampa,tour
1968-9338,Catania,tour
1968-2016,London 3,tour
1968-2030,Haverford,tour
1968-308,Munich,tour
1968-316,Bastad 1,tour
1968-317,Hilversum,tour
1968-3943,Boston 2,tour
1968-417,Boston 1,tour
1968-421,Toronto,tour
1968-424,Berkeley,tour
1968-430,Wembley 3,tour
1968-653,Fort Worth Ntl,tour
1968-654,Sacramento,tour
1968-6811,Los Angeles Ntl,tour
1968-6816,Corpus Christi Ntl,tour
1968-6832,Midland Ntl,tour
1968-707,South Orange,tour
1968-717,Milwaukee,tour
1968-7308,Adelaide,tour
1968-7310,Beckenham,tour
1968-9206,New York 3,tour
1968-9240,Berlin,tour
1968-9278,New Orleans 2,tour
1968-9282,New York Ntl,tour
1968-9287,Binghamton Ntl,tour
1968-9288,Southampton,tour
1968-9291,Newport Wct,tour
1968-9310,Paris Ntl,tour
1968-9311,Wembley Ntl 1,tour
1968-9312,Evansville Wct,tour
1968-9313,Wembley Ntl 2,tour
1968-9314,Minneapolis Wct,tour
1968-9315,Buffalo Wct,tour
1968-9316,Baltimore Wct,tour
1968-9317,Paris 2,tour
1968-9318,Bastad Wct,tour
1968-9319,Cannes Wct,tour
1968-9320,Pretoria Wct,tour
1968-9321,Johannesburg Wct,tour
1968-9322,Durban Wct,tour
1968-9323,East London Wct,tour
1968-9324,Port Elizabeth Wct,tour
1968-9325,Cape Town Wct,tour
1968-9326,Kimberley Wct,tour
1968-9327,Sao Paulo Ntl 2,tour
1968-9328,La Paz Ntl,tour
1968-9329,Lima Ntl,tour
1968-9330,Vienna Wct,tour
1968-9331,Nashville,tour
1968-9332,London 2,tour
1968-9334,Lugano,tour
1968-9335,Indianapolis,tour
1968-9336,La Jolla,tour
1968-9339,Naples,tour
1968-9341,Brisbane,tour
1968-9347,Reggio Calabria,tour
1968-319,Kitzbuehel,tour
1968-243,Perth,tour
1968-313,Bristol,tour
1968-583,Manchester,tour
1968-9346,Cape Town,tour
1968-9348,Mexico City,tour
1968-T101,Bombay,tour
1968-T102,Calcutta,tour
1968-T103,Port Elizabeth,tour
1968-T104,San Juan,tour
1968-T105,Bremen Indoors,tour
1968-T107,Pittsburgh Indoors,tour
1968-T108,Concord Indoors,tour
1968-T109,Munich Indoors,tour
1968-T110,Long Island Indoors,tour
1968-T111,Phoenix,tour
1968-T112,Cannes,tour
1968-T113,Madrid,tour
1968-T114,Los Angeles Socal Chps,tour
1968-T115,Oakland,tour
1968-T116,La Coruna,tour
1968-T119,Viareggio,tour
1968-T120,Ortisei,tour
1968-T121,Aberavon,tour
1968-T125,Barcelona Nationals,tour
1968-T130,Woodside,tour
1968-T131,Helsinki,tour
1968-T132,Saltsjoebaden,tour
1968-T133,San Antonio Collegiate,tour
1968-T134,King'S Cup 2R,tour
1968-T137,Montana Vermala,tour
1968-T139,Senigallia,tour
1968-T140,Scheveningen,tour
1968-T142,Quebec City,tour
1968-T143,Bucharest,tour
1968-T144,Mamaia,tour
1968-T145,Las Vegas,tour
1968-T146,Belgrade,tour
1968-T150,Madrid Real,tour
1968-T160,Kings Cup Sf,tour
1968-T161,Kings Cup Final,tour
1968-T162,Valencia,tour
1968-T166,Cannes Chps,tour
1968-T167,Hanau,tour
1968-T168,Narberth,tour
1969-2029,Dublin,tour
1969-2058,New York,tour
1969-243,Perth,tour
1969-260,Durban,tour
1969-301,Auckland,tour
1969-303,Buenos Aires,tour
1969-311,London / Queen'S Club,tour
1969-314,Gstaad,tour
1969-317,Hilversum,tour
1969-338,Sydney,tour
1969-3936,Melbourne,tour
1969-3938,Bournemouth,tour
1969-3939,Caracas,tour
1969-3940,Barranquilla,tour
1969-3942,Bristol,tour
1969-3944,Bastad,tour
1969-401,Philadelphia Wct,tour
1969-406,Brussels,tour
1969-410,Monte Carlo,tour
1969-413,Las Vegas,tour
1969-416,Rome,tour
1969-417,Boston,tour
1969-418,Washington,tour
1969-422,Cincinnati,tour
1969-423,Los Angeles,tour
1969-425,Barcelona,tour
1969-426,Johannesburg,tour
1969-429,Stockholm Open,tour
1969-430,Wembley,tour
1969-520,Roland Garros,tour
1969-540,Wimbledon,tour
1969-560,Us Open,tour
1969-580,Australian Open,tour
1969-717,Indianapolis,tour
1969-D001,Davis Cup Sam Qf: Chi Vs Arg,tour
1969-D002,Davis Cup Ame F: Mex Vs Aus,tour
1969-D003,Davis Cup Eur Qf: Ita Vs Aut,tour
